question,image,choice1,choice2,choice3,choice4,bloque
Cal será a voltaxe no punto -a-?,images/voltEnA644.png,3V,6V,4V,Non se pode saber sen o dato da intensidade,lei de ohm
Cal será a voltaxe no punto -a-?,images/voltEnA60044.png,300V,3V,400V,150V,lei de ohm
Cal será a voltaxe no punto -a-?,images/voltEnA622.png,3V,6V,2V,4V,lei de ohm
Cal será a voltaxe no punto -a-?,images/voltEnA62K2K.png,3V,3KV,"0,003V","0,00003V",lei de ohm
Cal será a voltaxe no punto -a-?,images/voltEnA61K1.png,Case cero voltios,Case 6V,Sobre 3V,máis de 6V,lei de ohm
Cal será a voltaxe no punto -a-?,images/voltEnA611K.png,Case 6V,Case 0V,Sobre 3V,máis de 6V,lei de ohm
Cal será a voltaxe no punto -a-?,images/voltEnA642.png,2V,4V,3V,6V,lei de ohm
Cal será o valor da resistencia da figura?,images/1kOhm.png,1 KΩ,10 KΩ,10000 Ω,100 Ω,valores resistencias
Cal será o valor da resistencia da figura?,images/1MOhm.png,1 MΩ,100KΩ,10000000 Ω,10 MΩ,valores resistencias
Cal será o valor da resistencia da figura?,images/2k2Ohm.png,2200 Ω,220 Ω,22 KΩ,222 Ω,valores resistencias
Cal será o valor da resistencia da figura?,images/2K7Ohm.png,"2,7 KΩ",272 Ω,27000 Ω,270 Ω,valores resistencias
Cal será o valor da resistencia da figura?,images/3Ohm.png,3 Ω,30 Ω,"0,3 Ω",3 KΩ,valores resistencias
Cal será o valor da resistencia da figura?,images/10KOhm.png,10 KΩ,1 KΩ,100 KΩ,103 Ω,valores resistencias
Cal será o valor da resistencia da figura?,images/15KOhm.png,15000 Ω,"1,5 KΩ",1500 Ω,150 Ω,valores resistencias
Cal será o valor da resistencia da figura?,images/33Ohm.png,33 Ω,"3,3 Ω","0,33 Ω",330 Ω,valores resistencias
Cal será o valor da resistencia da figura?,images/82MOhm.png,82000000 Ω,8200000Ω,820000000 Ω,820 MΩ,valores resistencias
Cal será o valor da resistencia da figura?,images/100Ohm.png,100 Ω,101 Ω,10 Ω,1000 Ω,valores resistencias
Cal será o valor da resistencia da figura?,images/220Ohm.png,220 Ω,22 Ω,222 Ω,"2,2KΩ",valores resistencias
Cal será o valor da resistencia da figura?,images/330Ohm.png,330 Ω,"0,033 KΩ",33 Ω,"3,3 KΩ",valores resistencias
Cal será o valor da resistencia da figura?,images/470KOhm.png,470 KΩ,471000 Ω,"4,7 KΩ",47 KΩ,valores resistencias
Cal será o valor da resistencia da figura?,images/470Ohm.png,470 Ω,47 KΩ,47 MΩ,47 Ω,valores resistencias
Que cores terá unha resistencia de 330 Ω?,images/colorCode.png,laranxa - laranxa - marrón,laranxa - laranxa - negro,laranxa - marrón - laranxa,vermello - laranxa - marrón,valores resistencias
Que cores terá unha resistencia de 33 Ω?,images/colorCode.png,laranxa - laranxa - negro,laranxa - laranxa - branco,laranxa - negro - laranxa,laranxa - negro - negro,valores resistencias
Que cores terá unha resistencia de 220 Ω?,images/colorCode.png,vermello - vermello - marrón,vermello - vermello - negro,vermello - vermello - vermello,vermello - marrón - marrón,valores resistencias
Que cores terá unha resistencia de 1 KΩ?,images/colorCode.png,marrón - negro - vermello,marrón - negro - laranxa,marrón - negro - amarelo,marrón - negro - marrón,valores resistencias
Que cores terá unha resistencia de 10 KΩ?,images/colorCode.png,marrón - negro - laranxa,marrón - negro - vermello,marrón - negro - negro,marrón - negro - amarelo,valores resistencias
Que cores terá unha resistencia de 100 KΩ?,images/colorCode.png,marrón - negro - amarelo,marrón  - negro - laranxa,marrón - negro - vermello,marrón - negro - verde,valores resistencias
"Que cores terá unha resistencia de 2,2 KΩ?",images/colorCode.png,vermello - vermello - vermello,vermello - vermello - marrón,vermello - vermello - laranxa,vermello - vermello - verde,valores resistencias
Que cores terá unha resistencia de 470 Ω?,images/colorCode.png,amarelo - morado - marrón,morado - amarelo - marrón,marrón - amarelo - morado,amarelo - marrón - morado,valores resistencias
Que cores terá unha resistencia de 47 KΩ?,images/colorCode.png,amarelo - morado - laranxa,amarelo - morado - amarelo,amarelo - morado - morado,amarelo - morado - vermello,valores resistencias
Que cores terá unha resistencia de 100 Ω?,images/colorCode.png,marrón -  negro - marrón,marrón - marrón - marrón,marrón - negro - negro,marrón - marrón - negro,valores resistencias
Teño unha resistencia de 100 Ω cunha tolerancia do 5%. Que valores serían admisibles?,,entre 95 e 105 Ω,entre 95 e 100 Ω,"entre 97,5 e 102,5 Ω",entre 100 e 105 Ω,valores resistencias
Teño unha resistencia de 10 KΩ cunha tolerancia do 2%. Que valores serían admisibles?,,Entre 9800 e 10200 Ω,Entre 10000 e 10200 Ω,Entre 9900 e 10100 Ω,Entre 9800 e 10000 Ω,valores resistencias
Teño unha resistencia de 220 Ω cunha tolerancia do 10%. Que valores serían admisibles?,,Entre 198 e 242 Ω,Entre 220 e 242 Ω,Entre 198 e 220 Ω,Entre 209 e 231 Ω,valores resistencias
Que me indica a última franxa de cor dunha resistencia fixa?,,"A súa tolerancia, en %",A voltaxe máxima que pode soportar,Indícame que ese lado vai a positivo,Indícame que ese lado vai a negativo,valores resistencias
Que é a tolerancia dunha resistencia fixa?,,Un indicador do marxe de erro que podo atopar no valor desa resistencia,A porcentaxe de valor desa resistencia en ohmnios,A potencia máxima que poderá disipar esa resistencia en forma de calor,A capacidade da resistencia para tolerar incrementos de voltaxe na súa alimentación.,valores resistencias
"Unha resistencia fixa con máis ohmnios que outra, terá...",,Unhas cores distintas nas súas tres primeiras franxas,Maior tamaño,Unha cor distinta na súa cuarta franxa,"Unha cor distinta no ""corpo"" da resistencia",valores resistencias
Que me di a cor da última banda dunha resistencia fixa?,,A precisión que podo agardar no valor desa resistencia,A potencia que poderá disipar esa resistencia,A porcentaxe de erro que podo agardar respecto á aplicación da Lei de Ohm,"O erro, en porcentaxe, que me podo atopar respecto á lonxitude desa resistencia",valores resistencias
Cal é o compoñente elemental da electrónica dixital?,,O transistor,A resistencia,O condensador,O transmisor,dixital
Cal non é unha porta lóxica?,,TOR,OR,NOR,XOR,dixital
Queres facer unha alarma que salte cando se abre calquera fiestra dunha habitación. Que tipo de portas lóxicas serán a base do teu circuíto?,,OR,AND,NOT,NAND,dixital
"Como funcionará un fecho SR, sabendo que S ven de set e R de reset?",,A entrada S a 1 fará que a saída se poña a 1 e a entrada R que se poña a 0. ,A entrada R a 1 fará que a saída se poña a 1 e se está a 0 a saída será 0,A entrada S a 1 fará que a saída se poña a 0 e a entrada R que se poña a 1.,"A entrada S fará que a saída se poña a 1, independentemente da R.",dixital
"Como funcionará un fecho D, sabendo que ten entradas D (data) e E (enable)?",," Cando E estea a 1, a saída será o estado de D. Se E está a 0, manterá o último estado.","Cando D estea a 1, a saída será o estado de E. Se D está a 0, manterá o último estado","Cando E estea a 0, a saída será o estado de D. Se E está a 1, manterá o último estado.","Cando E estea a 1, a saída será 1 ou 0 dependendo de se D estaba antes a 1 ou se non estaba antes a 1 e si a 0, sempre e cando E siga a estar a 0 ou a 1.",dixital
"Quen publicou ""The laws of thought"", o libro que consideramos o inicio da lóxica dixital?",,George Boole,Charles Babbage,William Shockley,Bill Gates,dixital
"En que ano publicou George Boole o libro ""The Laws of Thought"", que consideramos o inicio da lóxica dixital?",,1854,1904,1934,1954,dixital
"De que falaba o libro ""The Laws of Thought""?",,Defendía que o razoamento humano podería ser descomposto en operacións sinxelas sobre dous estados.,Explicaba como se terían que construír e programar os ordenadores para poder facer operacións on uns e ceros.,"Desenvolvía, por vez primeira, o sistema de numeración binaria","Defendía que a matemática tería que ser substituída pola electrónica, empregando para iso a lóxica secuencial e as portas lóxicas.",dixital
Que porta lóxica representa este símbolo?,images/notGate.png,NOT,OR,NAND,NOR,dixital
Que porta lóxica representa este símbolo?,images/orGate.png,OR,NOR,AND,XOR,dixital
Que porta lóxica representa este símbolo?,images/andGate.png,AND,NAND,OR,XOR,dixital
Que porta lóxica representa este símbolo?,images/norGate.png,NOR,NOT,OR,XOR,dixital
Que porta lóxica representa este símbolo?,images/nandGate.png,NAND,AND,NOR,NOT,dixital
Que porta lóxica representa este símbolo?,images/xorGate.png,XOR,XNOR,OR,NOR,dixital
Que porta lóxica representa este símbolo?,images/xnorGate.png,XNOR,NOR,OR,XOR,dixital
Que porta lóxica se constrúe con este circuíto?,images/transistorNor.png,NOR,OR,AND,NAND,dixital
Que porta lóxica se constrúe con este circuíto?,images/transistorAnd.png,AND,NAND,OR,XOR,dixital
Que porta lóxica se constrúe con este circuíto?,images/transistorNand.png,NAND,AND,XAND,OR,dixital
Que porta lóxica se constrúe con este circuíto?,images/transistorOr.png,OR,AND,NOR,NAND,dixital
Que porta lóxica se constrúe con este circuíto?,images/transistorNot.png,NOT,NOR,AND,OR,dixital
Que función lóxica se corresponde con esta táboa de verdade?,images/taboaNot.png,NOT,OR,AND,NOR,dixital
Que función lóxica se corresponde con esta táboa de verdade?,images/taboaOr.png,OR,AND,NOR,NOT,dixital
Que función lóxica se corresponde con esta táboa de verdade?,images/taboaAnd.png,AND,OR,NOR,XOR,dixital
Que función lóxica se corresponde con esta táboa de verdade?,images/taboaNor.png,NOR,XNOR,OR,NOT,dixital
Que función lóxica se corresponde con esta táboa de verdade?,images/taboaNand.png,NAND,Ningunha,AND,XOR,dixital
Que función lóxica se corresponde con esta táboa de verdade?,images/taboaXor.png,XOR,XNOR,OR,NAND,dixital
Que función lóxica se corresponde con esta táboa de verdade?,images/taboaXnor.png,XNOR,Ningunha,NAND,XOR,dixital
Que función lóxica se corresponde con esta táboa de verdade?,images/taboaTricky.png,Ningunha,XOR,NOT,AND,dixital
Que función lóxica se constrúe con este circuíto de portas NAND?,images/nandNot.png,NOT,AND,NAND,IF,dixital
Que función lóxica se constrúe con este circuíto de portas NAND?,images/nandOr.png,OR,NOR,AND,XOR,dixital
Que función lóxica se constrúe con este circuíto de portas NAND?,images/nandAnd.png,AND,NOT,XOR,OR,dixital
Que función lóxica se constrúe con este circuíto de portas NAND?,images/nandNor.png,NOR,NOT,XOR,XNOR,dixital
Que función lóxica se constrúe con este circuíto de portas NAND?,images/nandXor.png,XOR,XNOR,NOR,AND,dixital
Que función lóxica se constrúe con este circuíto de portas NAND?,images/nandXnor.png,XNOR,XOR,NOR,NOT,dixital
Este gráfico representa o comportamento dun compoñente... cal?,images/graficoLDR.png,LDR,Termistor,LED,Fotómetro,electronica_analoxica
Como interpretas este gráfico do comportamento dunha LDR?,images/graficoLDR.png,A resistencia da LDR disminúe cando aumenta a intensidade da luz,A resistencia da LDR aumenta cando aumenta a intensidade da luz,"A maior escuridade, menor resistencia da LDR",A resistencia da LDR disminúe cando disminúe a intensidade da luz,electronica_analoxica
Que significa LDR?,,Light Dependant Resistor,Light Diode Resistor,Light Dependant Rectifier,Low Dependant Resistor,electronica_analoxica
Que aplicación cres que podería precisar unha LDR?,,Os faros dun coche que se acenden cando está escuro,As luces dun baño que se acenden cando alguén entra,Un panel solar que carga un móbil,Unha alarma que se desactiva a partir dunha hora da tarde,electronica_analoxica
Que aplicación cres que podería precisar unha LDR?,,"O flash dunha cámara, para saber cando dispararse",Unha lanterna que se carga cun panel solar,As luz que indica unha saída de emerxencia cando hai un lume,"Un termómetro sen contacto, dos de pistola",electronica_analoxica
Que é unha LDR?,,Unha resistencia variable coa luz,Un compoñente que xenera intensidade a partir da resistencia da luz,Unha resistencia que emite luz,Unha resistencia que produce corrente cando lle dá a luz,electronica_analoxica
Como chamamos tamén ás LDR?,,Fotorresistencias,Placas fotovoltaicas,Diodos emisores de luz,Lumorresistencias,electronica_analoxica
Como coñecemos tamén ás fotorresistencias?,,LDR,LED,LRD,LDL,electronica_analoxica
Cal é falsa para unha fotorresistencia?,,"Canta máis luz reciben, máis resistencia teñen",Tamén se chaman LDR,Son resistencias variables,Pódense empregar nun circuíto detector de escuridade,electronica_analoxica
Que é un termistor?,,Unha resistencia variable coa temperatura,Unha resistencia que se quenta ao recibir corrente,Unha resistencia que emite calor ao recibir corrente,Unha resistencia que só funciona a unha determinada temperatura,electronica_analoxica
Que tipos de termistor existen?,,Os de coeficiente positivo (PTC) e os de coeficiente negativo (NTC),Os de coeficiente proporcional (PTC) e os de coeficiente inverso (ITC),Os de coeficiente puro (PTC) e os de coeficiente impuro (ITC),Os de coeficiente regular (RTC) e os de coeficiente disperso (DTC),electronica_analoxica
Con que tipo de termistor se correspondería este gráfico?,images/graficoTermistorPTC.png,Cun termistor de coeficiente positivo (PTC),Cun termistor de coeficiente negativo (NTC),Non se correspondería cun termistor,Con calquera dos tipos de termistor,electronica_analoxica
Que representa este gráfico?,images/graficoTermistorPTC.png,Que este compoñente presenta máis resistencia canta máis temperatura,Que este compoñente presenta máis resistencia canta menos temperatura,Que este compoñente presenta máis temperatura canta menos resistencia,Que este compoñente proporciona máis resistencia a temperaturas baixas,electronica_analoxica
Con que tipo de termistor se correspondería este gráfico?,images/graficoTermistorNTC.png,Cun termistor de coeficiente negativo (NTC),Cun termistor de coeficiente positivo (PTC),Non se correspondería cun termistor,Con calquera dos tipos de termistor,electronica_analoxica
Que representa este gráfico?,images/graficoTermistorNTC.png,Que este compoñente presenta máis resistencia canta menos temperatura,Que este compoñente presenta máis resistencia canta máis temperatura,Que este compoñente presenta máis temperatura canta máis resistencia,Que este compoñente proporciona máis resistencia a temperaturas altas,electronica_analoxica
Que compoñente representa este símbolo?,images/analog-LDR-symbol.png,Unha LDR,Un termistor,Unha resistencia emisora de luz,Unha fotocélula,electronica_analoxica
Que compoñente representa este símbolo?,images/analog-thermistor-symbol.png,Un termistor,Unha LDR,unha resistencia térmica,un potenciómetro,electronica_analoxica
Que compoñente representa este símbolo?,images/analog-potentiometer-symbol.png,un potenciómetro,un termistor,Un transistor,Unha resistencia reversible,electronica_analoxica
Que compoñente representa este símbolo?,images/analog-polarizedCapacitor-symbol.png,Un condensador polarizado,Un condensador no polarizado,Unha pila ou batería,Un condensador de fluzo,electronica_analoxica
Que compoñente representa este símbolo?,images/analog-capacitor-symbol.png,Un condensador non polarizado,Un condensador polarizado,Unha pila ou batería,Unha toma de terra,electronica_analoxica
Que compoñente representa este símbolo?,images/analog-npnTransistor-symbol.png,Un transistor,Un transmisor,Un potenciómetro,Unha resistencia triple,electronica_analoxica
Que compoñente representa este símbolo?,images/analog-npnTransistor-symbol.png,Un transistor NPN,Un transistor PNP,Un par darlington,Un transistor en activa,electronica_analoxica
Que compoñente representa este símbolo?,images/analog-pnpTransistor-symbol.png,Un transistor PNP,Un transistor NPN,Un par darlington,Un tiristor,electronica_analoxica
"No seguinte circuíto, que veremos no LED cando aumente a luz que incide sobre a LDR?",images/analog-LDR-series-LED.png,Emitirá máis luz,Emitirá menos luz,Non sufrirá ningunha variación,Dependerá do valor da resistencia fixa,electronica_analoxica
"No seguinte circuíto, que veremos no LED cando aumente a luz que incide sobre a LDR?",images/analog-LDR-parallel-LED.png,Emitirá menos luz,Emitirá máis luz,Non sufrirá ningunha variación,Dependerá do valor da resistencia fixa,electronica_analoxica
Cal é certa para o circuíto da figura?,images/analog-LDR-series-LED.png,O LED terá máis brillo canta máis luz lle chegue á LDR,A LDR presentará máis resistencia ao chegarlle máis luz,A LDR producirá máis enerxía ao chegarlle máis luz,"Ao dar máis luz sobre o LED, este iluminará máis.",electronica_analoxica
Cal é certa para o circuíto da figura?,images/analog-LDR-parallel-LED.png,O LED alumeará con máis intensidade canta menos luz teña a LDR,O LED alumeará con máis intensidade canta máis luz teña o LDR,O LDR alumeará máis canta máis luz haxa no circuíto,"Canta máis luz reciba o LED, menos alumeará.",electronica_analoxica
Cal é falsa para o circuíto da figura?,images/analog-LDR-parallel-LED.png,"Canta máis luz reciba a LDR, menos intensidade a atravesará",Canta máis luz reciba a LDR menos alumeará o LED,"Canta máis luz reciba a LDR, menos intensidade circulará polo LED","Canta máis luz reciba a LDR, menos resistencia presentará",electronica_analoxica
Cal é falsa para o circuíto da figura?,images/analog-thermistorNTC-parallel-resistor.png,"A maior temperatura no termistor, máis intensidade circulará por R2","A menor temperatura no termistor, máis resistencia ofrecerá","A menor temperatura no termistor, máis intensidade circulará por el","A maior temperatura no termistor, menor voltaxe haberá no punto a",electronica_analoxica
Cal é certa para o circuíto da figura?,images/analog-thermistorPTC-parallel-LED.png,"A maior temperatura no termistor, máis alumeará o LED","A maior temperatura no termistor, menos intensidade circulará polo LED",A intensidade que circula polo LED non dependerá da temperatura,A resistencia do termistor será menor canta maior sexa a súa temperatura,electronica_analoxica
Cal é certa para o circuíto da figura?,images/analog-thermistor-series-LED.png,"A maior temperatura no termistor, menos alumeará o LED","A maior temperatura no termistor, máis intensidade circulará polo circuíto",O circuíto non funcionará a altas temperaturas,A resistencia do termistor será baixa a altas temperaturas,electronica_analoxica
Que fará o seguinte circuíto?,images/analog-pot-series-LED.png,Movendo o potenciómetro poderei controlar a intensidade que pasa polo LED,"Non funcionará, por non estar conectado o terminal 1",A resistencia entre 1 e 3 variará ao mover o mando do potenciómetro,"O LED sempre alumeará o mesmo, por non estar conectado ao terminal variable",electronica_analoxica
Cal é falsa para o circuíto da figura?,images/analog-pot-parallel-LED.png,A intensidade que pasa por -a- depende da posición do mando,A resistencia do potenciómetro entre o terminal 1 e o terminal 3 é sempre a mesma,A intensidade que pase polo LED dependerá da posición do potenciómetro,"Nun dos extremos do potenciómetro, o LED debera apagar",electronica_analoxica
Cal é falsa para o potenciómetro?,images/analog-potentiometer-symbol.png,A resistencia entre 1 e 3 depende da posición do mando,A resistencia entre 1 e 2 depende da posición do mando,A resistencia entre 2 e 3 depende da posición do mando,A resistencia entre 1 e 2 é alta nas posicións nas que a resistencia entre 2 e 3 é baixa,electronica_analoxica
Cal é certa para o circuíto da figura?,images/analog-pot-series-LED-tricky.png,Sempre pasará a mesma intensidade polo LED,"Ao mover o mando do potenciómetro, poderei regular a luz do LED","Movendo o mando do potenciómetro, regularei a intensidade polo LED",A voltaxe que cae no potenciómetro variará ao mover o seu mando,electronica_analoxica
En que aplicación NON atopas un potenciómetro?,,Na roda de sintonizar as canles dunha radio antigua (dial),No mando de volume dun altofalante,No joystick do mando dunha videoconsola,No regulador de intensidade dunha lámpada,electronica_analoxica
Como lles chamamos ás resistencias variables manualmente?,,Potenciómetros,Resistores,Resistómetros,Mandos,electronica_analoxica
Que é un potenciómetro?,,Unha resistencia variable manualmente,Un medidor de potencia,Un regulador de potencia,Un mando que xira,electronica_analoxica
Que é un díodo?,,Un compoñente que permite o paso da corrente nun sentido e o impide noutro.,Un compoñente que emite luz cando é atravesado pola corrente,Un compoñente que pode almacenar carga eléctrica,Os compoñentes que teñen ánodo e cátodo,electronica_analoxica
Que tipo de material é o principal na construción dun díodo?,,Os semicondutores,Os supercondutores,Os condutores,Os metacondutores,electronica_analoxica
Cal é falsa para os díodos?,,Todos eles emiten luz,Todos impiden o paso da corrente nun sentido,Todos teñen un terminal negativo e outro positivo,Todos teñen polaridade,electronica_analoxica
Que compoñente é este?,images/analog-diode-pic.png,Un díodo rectificador,Un condensador,Un transistor,Un semicondutor,electronica_analoxica
Cales son os usos principais dun díodo rectificador?,,Protexer circuítos e transformar corrente alterna en continua,Regular a intensidade de corrente nos circuítos,Proporcionar corrente alterna a un circuíto,Rectificar a intensidade alterna do circuíto,electronica_analoxica
A que se corresponden as iniciais de LED?,,Light Emitting Diode,Light Enabled Diode,Light Exclusive Diode,Light Enhanced Diode,electronica_analoxica
Cal é o fenómeno polo cal un LED emite luz?,,Electroluminiscencia,Incandescencia,Fluorescencia,Electroinductancia,electronica_analoxica
Cal é a principal vantaxe dos LED fronte as lámpadas clásicas?,,A mellor eficiencia enerxética,A gran variedade de cores dispoñibles,O seu reducido tamaño,A súa maior potencia lumínica,electronica_analoxica
Cal é falsa para un LED do tipo da imaxe?,images/analog-LED-drawing.png,A plaquiña máis grande que se ve ao trasluz cadra co terminal positivo,O terminal máis longo vai a positivo,O encapsulado está recortado no lado negativo,O LED non alumeará se non conectamos ben os seus terminais,electronica_analoxica
Que compoñente representa este símbolo?,images/analog-diode-symbol.png,Un díodo rectificador,Un LED,Un transistor,Un termistor,electronica_analoxica
Que compoñente representa este símbolo?,images/analog-LED-symbol.png,Un LED,Un díodo rectificador,Unha LDR,Un condensador,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe ao LED?,images/analog-findR-led-12V3V10ma.png,900 Ω,300 Ω,1200 Ω,30 Ω,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe ao LED?,images/analog-findR-led-12V3V-20ma.png,450 Ω,150 Ω,45 Ω,"0,45 Ω",electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe ao LED?,images/analog-findR-led-6V3V20ma.png,150 Ω,300 Ω,600 Ω,100 Ω,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe ao LED?,images/analog-findR-led-5v1v820mA.png,160 Ω,220 Ω,330 Ω,non fai falla resistencia,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe ao LED?,images/analog-findR-led-5V3V320mA.png,85 Ω,415 Ω,340 Ω,non fai falla resistencia,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe ao LED?,images/analog-findR-led-3V33V320mA.png,non fai falla resistencia,85 Ω,170 Ω,330 Ω,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe ao LED?,images/analog-findR-led-3V33V310mA.png,non fai falla resistencia,85 Ω,"42,5 Ω",64 Ω,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe aos LED?,images/analog-findR-2led-12V3v20mA.png,300 Ω,non fai falla resistencia,450 Ω,3000 Ω,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe aos LED?,images/analog-findR-3led-12V3V20mA.png,150 Ω,non fai falla resistencia,450 Ω,75 Ω,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe aos LED?,images/analog-findR-3led-9V3V20mA.png,non fai falla resistencia,300 Ω,150 Ω,450 Ω,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe aos LED?,images/analog-findR-2led-6V2V10ma.png,200 Ω,non fai falla resistencia,"0,2 Ω",400 Ω,electronica_analoxica
Cal será o valor óptimo para a resistencia que protexe aos LED?,images/analog-findR-2led-6V3V10mA.png,non fai falla resistencia,300 Ω,600 Ω,100  Ω,electronica_analoxica
Que problema presentará este circuíto?,images/analog-led-differentCurrent.png,Non é recomendable mesturar leds que precisan diferentes intensidades,Non é recomendable mesturar leds que precisan diferentes voltaxes,A resistencia é demasiado pequena,Os leds terían que ir en paralelo,electronica_analoxica
Cal é a principal función dos condensadores?,,Almacenar carga eléctrica,Xenerar corrente eléctrica,Aumentar a duración dunha pila,Almacenar capacidade de corrente eléctrica,electronica_analoxica
Cales son os tipos principais de condensadores?,,Polarizados e non polarizados,Electrolíticos e polarizados,Cerámicos e non polarizados,Cerámicos e electrolíticos,electronica_analoxica
Cales son os condensadores polarizados máis comúns?,,Electrolíticos,Cerámicos,De poliéster,Dieléctricos,electronica_analoxica
Cales son os condensadores non polarizados máis comúns?,,Cerámicos,Electrolíticos,Dieléctricos,Capacitores,electronica_analoxica
Que compoñente é este?,images/analog-capacitor-electrolitic-pic.jpg,Un condensador electrolítico,Un condensador cerámico,Un díodo,Un transistor,electronica_analoxica
Que quere dicir que un condensador teña escrito - 16V- sobre el?,,Que soportará un máximo de 16V de tensión,Que precisa un mínimo de 16 V para funcionar,Que o funcionamento óptimo se dá a 16 V,"Que, en condicións normais, proporcionará 16V",electronica_analoxica
Cal é a unidade na que se mide a capacidade dun condensador?,,Faradios,microFaradios,picoFaradios,Todas son correctas,electronica_analoxica
Cal é a unidade na que se mide a capacidade dun condensador?,,Faradios e os seus múltiplos,Henrios e os seus múltiplos,Cosmios e os seus múltiplos,Hertzios e os seus múltiplos,electronica_analoxica
Como se chama o material que separa as dúas capas dun condensador?,,Dieléctrico,Eléctrico,Faradio,Semicondutor,electronica_analoxica
Cal condensador tardará máis en descargarse?,images/analog-capacitors-timeDischargeR.png,O do circuíto -d-,O do circuíto -a-,O do circuíto -b-,O do circuíto -c-,electronica_analoxica
Cal condensador tardará menos en descargarse?,images/analog-capacitor-timeDischargeC.png,O do circuíto -d-,O do circuíto -a-,O do circuíto -b-,O do circuíto -c-,electronica_analoxica
Cal condensador tardará máis en descargarse?,images/analog-capacitor-timeDischargeCR.png,O do circuíto -c-,O do circuíto -a-,O do circuíto -b-,O do circuíto -d-,electronica_analoxica
Cal condensador tardará menos en descargarse?,images/analog-capacitorDischarge-less.png,O do circuíto -a-,O do circuíto -b-,O do circuíto -d-,O do circuíto -c-,electronica_analoxica
Cal é a capacidade total deste circuíto?,images/analog-capacitors-parallel.png,10 uF,6 uF,"2,4 uF",24 uF,electronica_analoxica
Cal non é unha resistencia?,,LED,LDR,Potenciómetro,Termistor,electronica_analoxica
Cal frase é máis correcta?,,Os fundamentos da electrónica son os mesmos que os da electricidade,A electrónica ten maior importancia no mundo que a electricidade,A electricidade e a electrónica son o mesmo.,A electrónica é a rama da electricidade que traballa con intensidades máis elevadas,electronica_analoxica
En que ano se inventou o transistor?,,1948,1938,1928,1918,electronica_analoxica
En que ano se inventou o transistor?,,1948,1968,1958,1938,electronica_analoxica
Cando se inventou o transistor?,,Nos anos 40 do século XX,Nos anos 20 do século XX,Nos anos 60 do século XX,Nos anos 80 do século XX,electronica_analoxica
O transistor foi inventado por un equipo liderado por...,,William Shockley,Mick Jagger,John Lennon,Bob Dylan,electronica_analoxica
O transistor foi inventado por un equipo liderado por...,,William Shockley,Thomas Edison,Guillermo Marconi,Bill Gates,electronica_analoxica
O transistor basea o seu funcionamento nas propiedades dos compoñentes...,,Semicondutores,Condutores,Dieléctricos,Amplificadores,electronica_analoxica
O compoñente esencial da informática e da comunicación é...,,O transistor,A resistencia,O condensador,O amplificador,electronica_analoxica
Os dous tipos de transistores que estudamos son os...,,NPN e PNP,PN e NP,PPN e NPP,NN e PP,electronica_analoxica
Cales son os estados ou fases dun transistor?,,"Saturación, Corte e Activa","Emisión, Amplificación e Transmisión",Saturación e corte,"Pechado, aberto e inestable",electronica_analoxica
Como se chama cada terminal do transistor?,images/analog-transistor-terminals.png,"1 - base, 2 - colector e 3 - emisor","1 - colector, 2 - base e 3 - emisor","1 - emisor, 2 - base e 3 - colector","1 - base, 2 - emisor e 3 - colector",electronica_analoxica
Cal dos seguintes é un transistor NPN?,images/analog-transistor-npnDiff.png,O 2,O 1,O 3,O 4,electronica_analoxica
Cal dos seguintes é un transistor PNP?,images/analog-transistor-pnpDiff.png,O 4,O 1,O 2,O 3,electronica_analoxica
Como se chama o estado dun transistor no que non deixa pasar corrente de colector a emisor?,,Corte,Saturación,Activa,Interrupción,electronica_analoxica
Como se chama o estado dun transistor no que a corrente de colector a emisor é a máxima posible?,,Saturación,Máximo,Activa,Corte,electronica_analoxica
Como se chama o estado dun transistor no que a corrente de colector a emisor varía proporcionalmente á corrente de base?,,Activa,Amplificación,Corte,Saturación,electronica_analoxica
"Medimos a intensidade ""Ice"" e vemos que é cero. En que estado está o transistor?",images/analog-transistor-currents.png,Corte,Activa,Saturación,Interrupción,electronica_analoxica
"Medimos a intensidade ""Ib"" e vemos que é cero. En que estado estará o transistor?",,Corte,Activa,Saturación,Interrupción,electronica_analoxica
"Medimos a intensidade ""Ice"" e vemos que é a máxima posible. En que estado estará o transistor?",,Saturación,Activa,Corte,Condución,electronica_analoxica
"Medimos a intensidade ""Ib"" e vemos que, ao variar, tamén varía a intensidade ""Ice"". En que estado estará o transistor?",,Activa,Saturación,Corte,Amplificación,electronica_analoxica
Que estado do transistor representa o diagrama?,images/analog-transistor-cutoffDrawing.png,Corte,Interrupción,Activa,Saturación,electronica_analoxica
